Step, Mean reward
8192, 3.8125
16384, 4.5625
24576, 3.9375
32768, 3.71875
40960, 4.28125
49152, 3.15625
57344, 5.1875
65536, 4.09375
73728, 4.25
81920, 5.375
90112, 5.84375
98304, 5.90625
106496, 7.5
114688, 8.15625
122880, 7.9375
131072, 7.6875
139264, 7.78125
147456, 8.46875
155648, 7.9375
163840, 9.0625
172032, 9.9375
180224, 10.0625
188416, 10.28125
196608, 11.09375
204800, 10.53125
212992, 9.46875
221184, 11.34375
229376, 9.75
237568, 12.59375
245760, 12.5
253952, 11.25
262144, 12.4375
270336, 11.90625
278528, 13.4375
286720, 13.28125
294912, 13.78125
303104, 13.65625
311296, 13.96875
319488, 13.96875
327680, 13.40625
335872, 14.59375
344064, 15.0
352256, 14.28125
360448, 14.28125
368640, 14.53125
376832, 16.125
385024, 16.15625
393216, 16.34375
401408, 16.4375
409600, 16.0
417792, 16.875
425984, 16.1875
434176, 16.5
442368, 15.46875
450560, 16.15625
458752, 15.6875
466944, 16.90625
475136, 16.59375
483328, 16.4375
491520, 17.125
499712, 16.34375
507904, 18.5
516096, 17.71875
524288, 17.375
532480, 16.21875
540672, 16.96875
548864, 15.75
557056, 16.96875
565248, 17.78125
573440, 16.40625
581632, 16.90625
589824, 15.5
598016, 19.25
606208, 17.4375
614400, 17.8125
622592, 17.1875
630784, 18.0
638976, 18.46875
647168, 17.5
655360, 18.8125
663552, 16.5625
671744, 17.15625
679936, 17.71875
688128, 16.46875
696320, 19.3125
704512, 17.6875
712704, 16.90625
720896, 18.46875
729088, 18.25
737280, 18.40625
745472, 16.9375
753664, 17.25
761856, 18.75
770048, 18.34375
778240, 17.46875
786432, 18.28125
794624, 19.5
802816, 19.53125
811008, 18.9375
819200, 19.34375
827392, 20.53125
835584, 18.46875
843776, 20.15625
851968, 19.03125
860160, 18.875
868352, 18.8125
876544, 18.90625
884736, 18.5
892928, 19.21875
901120, 19.90625
909312, 17.90625
917504, 18.6875
925696, 19.1875
933888, 18.9375
942080, 19.125
950272, 19.15625
958464, 18.84375
966656, 19.15625
974848, 19.28125
983040, 20.0
991232, 20.15625
999424, 19.71875
1007616, 20.625
1015808, 19.625
1024000, 19.96875
1032192, 19.21875
1040384, 20.90625
1048576, 21.28125
1056768, 19.34375
1064960, 20.8125
1073152, 19.59375
1081344, 20.96875
1089536, 21.21875
1097728, 20.46875
1105920, 19.78125
1114112, 19.75
1122304, 19.0625
1130496, 20.5625
1138688, 20.625
1146880, 20.0625
1155072, 21.5
1163264, 19.15625
1171456, 19.78125
1179648, 18.1875
1187840, 20.8125
1196032, 20.53125
1204224, 21.0
1212416, 20.25
1220608, 19.1875
1228800, 21.46875
1236992, 18.75
1245184, 19.25
1253376, 20.375
1261568, 20.34375
1269760, 19.78125
1277952, 18.9375
1286144, 20.40625
1294336, 20.03125
1302528, 21.46875
1310720, 19.125
1318912, 20.8125
1327104, 20.8125
1335296, 20.5625
1343488, 20.96875
1351680, 21.53125
1359872, 21.59375
1368064, 21.9375
1376256, 22.125
1384448, 20.8125
1392640, 20.6875
1400832, 21.0625
1409024, 21.1875
1417216, 21.375
1425408, 22.125
1433600, 22.75
1441792, 21.40625
1449984, 22.0
1458176, 21.0
1466368, 21.875
1474560, 21.875
1482752, 22.09375
1490944, 22.03125
1499136, 21.59375
1507328, 22.46875
1515520, 21.4375
1523712, 22.21875
1531904, 22.8125
1540096, 21.34375
1548288, 22.21875
1556480, 20.34375
1564672, 21.59375
1572864, 22.875
1581056, 21.0
1589248, 22.9375
1597440, 21.9375
1605632, 21.84375
1613824, 20.96875
1622016, 20.28125
1630208, 21.78125
1638400, 22.0
1646592, 21.46875
1654784, 22.46875
1662976, 23.625
1671168, 21.875
1679360, 22.34375
1687552, 21.78125
1695744, 22.34375
1703936, 21.15625
1712128, 21.5625
1720320, 22.28125
1728512, 20.9375
1736704, 22.53125
1744896, 22.125
1753088, 23.03125
1761280, 21.40625
1769472, 20.40625
1777664, 23.21875
1785856, 22.84375
1794048, 23.5625
1802240, 21.3125
1810432, 22.46875
1818624, 21.53125
1826816, 20.21875
1835008, 22.59375
1843200, 21.6875
1851392, 22.40625
1859584, 23.40625
1867776, 22.75
1875968, 21.65625
1884160, 23.0
1892352, 23.03125
1900544, 21.9375
1908736, 22.25
1916928, 22.28125
1925120, 19.9375
1933312, 23.4375
1941504, 23.3125
1949696, 23.53125
1957888, 22.0625
1966080, 23.21875
1974272, 22.90625
1982464, 24.0
1990656, 22.46875
1998848, 23.34375
2007040, 23.5625
2015232, 21.28125
2023424, 22.0
2031616, 22.5
2039808, 21.6875
2048000, 23.28125
2056192, 22.3125
2064384, 21.78125
2072576, 24.84375
2080768, 21.75
2088960, 21.96875
2097152, 22.40625
2105344, 23.5625
2113536, 22.25
2121728, 21.4375
2129920, 23.0
2138112, 22.84375
2146304, 22.09375
2154496, 22.21875
2162688, 21.4375
2170880, 21.34375
2179072, 22.65625
2187264, 22.125
2195456, 22.09375
2203648, 22.21875
2211840, 23.5625
2220032, 20.53125
2228224, 23.3125
2236416, 22.40625
2244608, 22.25
2252800, 24.1875
